Component Name,File Path,Compatibility Level,Total Issues,Blocking Issues,High Issues,Auto-fixable Issues,Uses Hooks,Browser APIs,DOM Access,Can be Server Side,Refactoring Actions
Account,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Account/Account.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Account.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Account/Account.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
ActionLink,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ActionLink/ActionLink.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
ActionLink.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ActionLink/ActionLink.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
BackLink,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/BackLink/BackLink.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
BackLink.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/BackLink/BackLink.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
ForwardLink,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/BackLink/ForwardLink.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Breadcrumb,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Breadcrumb/Breadcrumb.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Breadcrumb.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Breadcrumb/Breadcrumb.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Button.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Button/Button.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Button.server,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Button/Button.server.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Button.test-types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Button/Button.test-types.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Button,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Button/Button.tsx,compatible-with-hydration,0,0,0,0,true,true,false,false,0
Button.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Button/Button.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
ButtonExamples,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Button/ButtonExamples.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Card.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Card/Card.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
CareCard.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/CareCard/CareCard.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
CharacterCount.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/CharacterCount/CharacterCount.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
CharacterCount,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/CharacterCount/CharacterCount.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
CharacterCount.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/CharacterCount/CharacterCount.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Checkbox,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkbox/Checkbox.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
Checkbox.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkbox/Checkbox.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Checkboxes.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkboxes/Checkboxes.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Checkboxes.server,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkboxes/Checkboxes.server.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Checkboxes.styles,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkboxes/Checkboxes.styles.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Checkboxes,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkboxes/Checkboxes.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Checkboxes.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkboxes/Checkboxes.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
CheckboxesCSS,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Checkboxes/CheckboxesCSS.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
ContentsList,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ContentsList/ContentsList.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
ContentsList.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ContentsList/ContentsList.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
DashboardSummaryGrid.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DashboardSummaryGrid/DashboardSummaryGrid.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
FilterableLineChart,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/FilterableLineChart.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
Axis,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/Axis/Axis.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
ChartContainer,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/ChartContainer.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
ChartEnhancer,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/ChartEnhancer/ChartEnhancer.tsx,requires-refactoring,3,2,0,2,true,true,false,false,1
ChartNoScript,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/ChartNoScript/ChartNoScript.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
